iter	MAE	RMSE
80	1.035270248	1.076186084
81	1.004257863	1.045696821
82	0.9747378898	1.017081595
83	0.9462742487	0.9895615704
84	0.9184445941	0.9622230614
85	0.8917041345	0.9365494917
86	0.8651335381	0.9100954826
87	0.8397214795	0.885161146
88	0.8154606304	0.8617861836
89	0.7913453535	0.8378836437
90	0.7684238116	0.8156783148
91	0.7461188342	0.793943634
92	0.7246994497	0.7733982647
93	0.703976699	0.7535710913
94	0.683778463	0.7337093911
95	0.6635264607	0.713474673
96	0.6446823598	0.695528907
97	0.6265388505	0.6783572427
98	0.6089255454	0.6617595193
99	0.5918470691	0.645418642
100	0.5753642679	0.6299045511
101	0.5591487895	0.6139796674
102	0.5437545259	0.59943404
103	0.5289575026	0.5851000567
104	0.5141895344	0.5707192044
105	0.5001665213	0.5573341587
106	0.4868396563	0.5447261433
107	0.4739466575	0.5325869286
108	0.4614783829	0.5208536445
109	0.4494965229	0.5095345793
110	0.437256484	0.4972078926
111	0.4261485675	0.4867013271
112	0.4153281729	0.4762375028
113	0.4051122312	0.466345508
114	0.3952003959	0.4569731427
115	0.3859493305	0.4482197508
116	0.3768679779	0.4396601335
117	0.3679564666	0.4312893333
118	0.3594944253	0.4234220021
119	0.3515098703	0.4159681483
120	0.3431128163	0.4073848145
121	0.3348383538	0.3990137639
122	0.3272894762	0.3917929598
123	0.3201970692	0.385135869
124	0.3129088689	0.3779615544
125	0.3063109135	0.3717586219
126	0.2998613891	0.3655492325
127	0.2932923879	0.358962113
128	0.2876956568	0.3537034574
129	0.2817871056	0.3480071121
130	0.2760158033	0.3421414394
131	0.2705863327	0.3367981955
132	0.2650865214	0.331427863
133	0.2599407026	0.326224013
134	0.2555420241	0.3221508908
135	0.2508333211	0.3174756612
136	0.2463949977	0.3133325074
137	0.242109952	0.3092817174
138	0.2378306096	0.3051996343
139	0.2332866665	0.3006553785
140	0.229248578	0.2966705028
141	0.2255997903	0.2932625258
142	0.2217750239	0.289360836
143	0.2178017599	0.2851736627
144	0.2146443518	0.282178763
145	0.2110109338	0.2783870984
146	0.2081151934	0.2756243581
147	0.2051915038	0.2727076164
148	0.2018273368	0.2692220435
149	0.1992077073	0.2666770062
150	0.1960710269	0.2634110178
151	0.1933200892	0.2606992336
152	0.1906108034	0.2579710101
153	0.187826464	0.2549894385
154	0.1851947677	0.2523234064
155	0.1822786891	0.2490458874
156	0.1798158467	0.2465533724
157	0.1771282445	0.2436428893
158	0.1750567061	0.2415514247
159	0.1726796664	0.2390709605
160	0.1709418515	0.2373871634
161	0.1690422344	0.2354346061
162	0.1674452146	0.2338631391
163	0.1657046867	0.2320749145
164	0.1635453176	0.2297137243
165	0.1616849366	0.227798318
166	0.159540411	0.2253298711
167	0.1578930801	0.2235832096
168	0.1563010749	0.2218450546
169	0.1547962453	0.220210102
170	0.1532774844	0.2185917504
171	0.1523498137	0.2176518101
172	0.1510924346	0.2162561937
173	0.1496617885	0.2146517119
174	0.1485284512	0.2134442495
175	0.1473084889	0.2120193712
176	0.1460578767	0.2106207138
177	0.1451453215	0.2095761595
178	0.1434888199	0.2073998601
179	0.1422310666	0.2058657704
180	0.1410152173	0.2043478576
181	0.1397093517	0.202673929
182	0.1384038909	0.2010263489
183	0.1372119685	0.1995250898
184	0.1362344478	0.1983763
185	0.1350810944	0.1968623097
186	0.1340082066	0.1955158565
187	0.1331194088	0.1944286287
188	0.1318414921	0.1927129106
189	0.1309660449	0.1916517996
190	0.1302477444	0.1908452062
191	0.1290655732	0.1892470529
192	0.1281606052	0.1881260786
193	0.1272676279	0.1869210328
194	0.1261357532	0.1853249062
195	0.1253844436	0.1843429682
196	0.1244939996	0.1831550163
197	0.12360366	0.1819270572
198	0.1230617038	0.1812665572
199	0.1224653661	0.1805341413
200	0.1215638904	0.1793216346
201	0.1209324452	0.1785809714
202	0.1203011605	0.1776892664
203	0.1195304381	0.1765640796
204	0.1187048379	0.1754182518
205	0.1178831098	0.1743405085
206	0.1173472148	0.1736236732
207	0.1167784652	0.1730002592
208	0.1160586366	0.1720782201
209	0.1155547618	0.171407814
210	0.1149164929	0.1705246527
211	0.1142501068	0.1696172174
212	0.1137057799	0.168945654
213	0.113194694	0.1681675469
214	0.1127427039	0.1676868853
215	0.1121705226	0.1669111678
216	0.1116490789	0.1662333977
217	0.1109920118	0.1653431422
218	0.1105794031	0.1648627994
219	0.1101964825	0.1643561434
220	0.1096296123	0.1636012612
221	0.1092080011	0.1631364187
222	0.1086688072	0.1624619086
223	0.1081591382	0.1618280991
224	0.1076428069	0.1611526295
225	0.1071361639	0.1604509818
226	0.1066279781	0.159708289
227	0.1062296041	0.1591562536
228	0.105843045	0.1586772651
229	0.1054658534	0.1581799652
230	0.1050624997	0.1575950035
231	0.104660246	0.1570486265
232	0.1042712518	0.1564926802
233	0.1039362527	0.1559989693
234	0.1036338631	0.1556267873
235	0.1032633479	0.1551313935
236	0.1028878867	0.1546130389
237	0.1026049196	0.1542364487
238	0.1023303467	0.1538458092
239	0.1019785819	0.1533367095
240	0.1016544412	0.1528760331
241	0.1012552555	0.1522702168
242	0.1009826657	0.1519704786
243	0.1007010001	0.1516156928
244	0.1004221976	0.1512406646
245	0.1002116966	0.1510007148
246	0.09988850439	0.1506057406
247	0.099651242	0.1503432712
248	0.09930941517	0.1498147632
249	0.09906269679	0.1495504632
250	0.09882645229	0.1492877285
251	0.09858449993	0.1490005559
252	0.09830930395	0.1486140432
253	0.09808050754	0.1483644797
254	0.09786653003	0.1480481011
255	0.09757723581	0.147626754
256	0.09736429482	0.1473494678
257	0.09708815977	0.1470050252
258	0.09687097066	0.1467658477
259	0.09671172027	0.1465836114
260	0.09656796672	0.1464066302
261	0.09628316067	0.1460400959
262	0.09602950056	0.1456976467
263	0.09583371431	0.1454998926
264	0.09559134996	0.145166496
265	0.0954208526	0.1449864042
266	0.09518228033	0.1446860553
267	0.09496770353	0.144422196
268	0.0947450637	0.1441294631
269	0.09456654837	0.1439140062
270	0.09439926964	0.1437112322
271	0.09427975813	0.1435583538
272	0.09401657937	0.1432061807
273	0.09387251574	0.1430387102
274	0.09369568819	0.1428194818
275	0.09351181755	0.1425906051
276	0.09330167776	0.1423221037
277	0.09315239632	0.1421618785
278	0.09303801438	0.1420066158
279	0.0928922216	0.1418226579
280	0.09273805195	0.141602221
281	0.09254610774	0.1413270431
282	0.09231323459	0.1409716053
283	0.09208116065	0.1406184584
284	0.09188587513	0.1403469363
285	0.09170086984	0.1400914227
286	0.09149408591	0.1397946165
287	0.09128485597	0.1395148775
288	0.09110887465	0.1392766446
289	0.09092470669	0.139000242
290	0.09075346595	0.1387728801
291	0.09059835718	0.138571142
292	0.09042392645	0.1383155394
293	0.09023852756	0.138028932
294	0.09009282992	0.1378489672
295	0.08995971874	0.1376919657
296	0.08982520223	0.1375041806
297	0.08973360923	0.1373866194
298	0.08962767295	0.1372595061
299	0.08948243437	0.1370675685
300	0.08936467479	0.1369049321
301	0.08923589633	0.1367333042
302	0.08910547552	0.1365840552
303	0.08893817769	0.13637271
304	0.08876482056	0.1361410608
305	0.08866899262	0.1360290985
306	0.08849700787	0.135815626
307	0.08836397921	0.1356673457
308	0.08823000637	0.1355156581
309	0.08813615266	0.1354095878
310	0.08804581872	0.1353185416
311	0.08791271761	0.1351162995
312	0.08781174596	0.13497658
313	0.08765694184	0.1347399258
314	0.08754985899	0.1346163012
315	0.08745197427	0.1344931309
316	0.08733720866	0.1343595944
317	0.0872480995	0.1342443859
318	0.08712844893	0.1340787768
319	0.08706092648	0.1339886314
320	0.08697675877	0.1338700655
321	0.08686163013	0.1337093494
322	0.08677017404	0.1336091325
323	0.08666694067	0.1334659276
324	0.08654638235	0.1332800363
325	0.08644022646	0.1331370062
326	0.08634346368	0.1330023698
327	0.08627341874	0.1329310519
328	0.08617508655	0.1327956987
329	0.08607362708	0.1326398854
330	0.08599867013	0.1325630179
331	0.0858379818	0.1323048091
332	0.08574726531	0.132181835
333	0.08561156741	0.1319933813
334	0.08551500496	0.1318591687
335	0.0853572341	0.1316304183
336	0.08523669844	0.1314757329
337	0.08516095194	0.1313664117
338	0.08506390006	0.13122975
339	0.08497484427	0.1311445468
340	0.0849114537	0.1310457381
341	0.08479778573	0.1309302961
342	0.08474665375	0.130872867
343	0.08467448776	0.130768911
344	0.08462941228	0.1307160212
345	0.08458764629	0.1306657
346	0.0845164971	0.1305606684
347	0.08445212969	0.1304605481
348	0.08440539305	0.1303543152
349	0.08429842068	0.1302454895
350	0.08426150946	0.1301992053
351	0.08418075281	0.1300954169
352	0.08410262198	0.1299886248
353	0.08399896535	0.1298856086
354	0.08393665007	0.1298267347
355	0.08384200927	0.1297315686
356	0.08378135839	0.1296224946
357	0.08369110847	0.1295320187
358	0.08363814182	0.1294681858
359	0.083597458	0.1294047221
360	0.08355889266	0.1293439609
361	0.08347647936	0.1292594996
362	0.08341961554	0.1291581539
363	0.08334936127	0.1290706582
364	0.08328149968	0.1290069157
365	0.08324387284	0.1289490438
366	0.08320737479	0.1288936429
367	0.08314633135	0.1288206012
368	0.08306911828	0.1287187986
369	0.08301293953	0.1286495386
370	0.0829529293	0.1285705931
371	0.08291713391	0.1285291724
372	0.08285628051	0.1284464369
373	0.08279579696	0.1283296957
374	0.08272659833	0.1282158727
375	0.08266000217	0.1281192662
376	0.08260290134	0.1280108408
377	0.08254322381	0.127924238
378	0.08245804279	0.1277669987
379	0.08237168113	0.1276845843
380	0.08231653593	0.1275936132
381	0.08228592131	0.1275555277
382	0.08226785774	0.1275293955
383	0.08219153568	0.1273842148
384	0.08212491591	0.1273162229
385	0.08209594467	0.1272866401
386	0.0820014067	0.1271759056
387	0.08194445696	0.1270992929
388	0.08188421831	0.1270171745
389	0.0818275225	0.1269402943
390	0.08176645616	0.1268438812
391	0.08172235374	0.1267812389
392	0.08167030012	0.1266847356
393	0.08159963124	0.1265515063
394	0.08154124528	0.1264710792
395	0.08148131537	0.1263941302
396	0.0814562263	0.1263518648
397	0.08140036613	0.126277756
398	0.08132918766	0.1261759506
399	0.08128946296	0.1261227564
400	0.08123529547	0.1260528373
401	0.08120993477	0.1260109127
402	0.08114567075	0.1258910539
403	0.08111123027	0.1258517489
404	0.0810646171	0.125777159
405	0.080978549	0.1256838313
406	0.08091916406	0.1255746702
407	0.08089819662	0.1255379324
408	0.08083904987	0.1254553669
409	0.08078946319	0.1253835598
410	0.08073779038	0.1252684762
411	0.08071082088	0.1252395747
412	0.08066330243	0.125173639
413	0.08064181111	0.1251469816
414	0.08062245206	0.1251216458
415	0.08056762901	0.1250254693
416	0.08045046282	0.1248798093
417	0.08041954982	0.124845365
418	0.08037710718	0.1247881987
419	0.08034720277	0.1247554163
420	0.08031821082	0.1247242353
421	0.08027826449	0.1246745233
422	0.08023952767	0.1246276025
423	0.08022046226	0.1246081004
424	0.08016920434	0.1245433171
425	0.08011633807	0.1244894645
426	0.08005053287	0.1242716214
427	0.08000076724	0.1242103553
428	0.07997339152	0.1241815325
429	0.07994683707	0.1241541037
430	0.07989584338	0.1241032488
431	0.07987827087	0.1240862182
432	0.07985299172	0.1240604559
433	0.07983623274	0.1240447424
434	0.07978872836	0.1239905489
435	0.07974360834	0.1239390086
436	0.07971892953	0.1239146958
437	0.07967593566	0.1238656105
438	0.07966383895	0.1238489768
439	0.07962507624	0.123802334
440	0.07958883517	0.1237579551
441	0.07954249328	0.1237122771
442	0.07948749135	0.1236456
443	0.07945360258	0.1236050766
444	0.07943773738	0.1235757291
445	0.07940629774	0.1235370393
446	0.07930453158	0.123398605
447	0.07927628963	0.1233617291
448	0.07925045759	0.1233340282
449	0.07922540052	0.1233078361
450	0.07918714171	0.1232738432
451	0.07917557548	0.1232560093
452	0.07910788178	0.1231568844
453	0.07909717874	0.1231386997
454	0.07907294355	0.1231116378
455	0.07905009221	0.1230860426
456	0.07903025036	0.1230618315
457	0.07900472341	0.1230366677
458	0.0789897073	0.1230026544
459	0.07896498996	0.1229786259
460	0.07894231828	0.1229460874
461	0.07890623473	0.1228784948
462	0.07888237018	0.1228555604
463	0.07883211851	0.122796651
464	0.07882434474	0.1227858657
465	0.07880410024	0.1227501015
466	0.07876770717	0.1227158835
467	0.07875890862	0.1227000543
468	0.07872184771	0.1226678574
469	0.07871393709	0.1226581764
470	0.07867824735	0.1226185214
471	0.07865751836	0.122579648
472	0.07859972494	0.1225061818
473	0.07854594568	0.122436721
474	0.07849840914	0.1223710417
475	0.07845717726	0.1223089329
476	0.0784270261	0.122279339
477	0.07838753032	0.1222204037
478	0.07835221484	0.1221607192
479	0.07831795882	0.1221047882
480	0.07827250074	0.1220622772
481	0.07825105618	0.1220476004
482	0.07820132676	0.1219881357
483	0.07815358132	0.1219317318
484	0.07812942007	0.1218872395
485	0.07808400097	0.1218340334
486	0.07805716671	0.1218071392
487	0.07803503751	0.1217852277
488	0.07799412985	0.1217353679
489	0.07798371144	0.121720158
490	0.0779431111	0.1216557526
491	0.077912398	0.1216158924
492	0.07788912279	0.1215921109
493	0.07785757596	0.1215675107
494	0.07780260408	0.1215097804
495	0.0777622788	0.1214619421
496	0.07773706897	0.1214096018
497	0.07770216659	0.1213619093
498	0.07765291935	0.1213094397
499	0.07763376723	0.1212694323
500	0.07758697502	0.1212197049
501	0.07755296223	0.1211760699
502	0.07752172544	0.1211489874
503	0.07749189301	0.1211233064
504	0.07742486831	0.1209051311
505	0.07740328482	0.1208551242
506	0.07737672637	0.120831333
507	0.07735795724	0.1207834071
508	0.07730244555	0.1207043907
509	0.07725174536	0.1206295385
510	0.07721568612	0.1205852855
511	0.07717036624	0.1205161448
512	0.07711189906	0.1203161156
513	0.07708444199	0.1202867429
514	0.07707656476	0.1202783432
515	0.07703692769	0.1202263579
516	0.07703049705	0.1202124536
517	0.07698641002	0.1201476156
518	0.0769436606	0.1200861824
519	0.07690227941	0.1200279677
520	0.07685973693	0.1199584522
521	0.0768291383	0.119934508
522	0.07679356583	0.119885523
523	0.07676228851	0.1198508092
524	0.07674814947	0.1198335293
525	0.07673163191	0.1198233917
526	0.07670121268	0.1197901694
527	0.07668394572	0.1197785074
528	0.07667802281	0.1197643056
529	0.07661641525	0.1196677151
530	0.07655756747	0.11957644
531	0.07650279252	0.1194901832
532	0.0764967848	0.1194842528
533	0.07649139218	0.1194786617
534	0.07644901503	0.1194362194
535	0.07644352886	0.1194307964
536	0.07638819956	0.1193495707
537	0.07638328539	0.1193443332
538	0.0763572053	0.1193189885
539	0.07634446421	0.1193079955
540	0.07633074664	0.1192962606
541	0.07629096476	0.1192565046
542	0.07628627581	0.1192517842
543	0.07623431727	0.1191704587
544	0.0762146904	0.1191591501
545	0.07621037682	0.1191548105
546	0.07619141349	0.1191438779
547	0.07617337152	0.1191337792
548	0.07615600125	0.1191244597
549	0.07610900099	0.1190517866
550	0.07606439841	0.1189830013
551	0.07605427018	0.1189703946
552	0.07601615938	0.1189324268
553	0.07599513355	0.1189139323
554	0.07597949063	0.1189034731
555	0.07596000614	0.1188862325
556	0.07591795981	0.1188421955
557	0.07590017774	0.1188299022
558	0.07587046089	0.1187792665
559	0.07586177932	0.1187714685
560	0.07582824856	0.1187285236
561	0.07579922394	0.1186878724
562	0.07576627777	0.1186525371
563	0.07575836114	0.1186484111
564	0.07573496097	0.1186313131
565	0.07570511639	0.1185980714
566	0.07568370044	0.1185813935
567	0.07566515039	0.1185663816
568	0.07564428728	0.1185370103
569	0.07562556951	0.1185089696
570	0.07561173327	0.1184858049
571	0.07559435329	0.1184590045
572	0.07557875156	0.1184334075
573	0.07556992294	0.1184243264
574	0.07555304397	0.1184098492
575	0.07553981059	0.1183858725
576	0.07552371841	0.1183723474
577	0.07551518553	0.1183663025
578	0.07549963693	0.118353587
579	0.07548455478	0.1183416413
580	0.07547086001	0.1183182328
581	0.07544023204	0.1182795787
582	0.07542688795	0.1182571059
583	0.07538361516	0.1182034845
584	0.0753544384	0.1181655634
585	0.07533585014	0.1181303199
586	0.07532114712	0.1181180618
587	0.07530762764	0.1180959784
588	0.07528574887	0.1180746992
589	0.07527375751	0.1180545161
590	0.07526124709	0.1180342583
591	0.07523467911	0.1180052719
592	0.07522302182	0.1179866304
593	0.07519902634	0.117962977
594	0.0751877692	0.117945217
595	0.07517788386	0.117928234
596	0.07515491106	0.1178947191
597	0.07514610031	0.1178785397
598	0.07513773121	0.1178630628
599	0.07511605468	0.117831123
600	0.07510729133	0.1178243482
601	0.07509125461	0.1178115036
602	0.0750835059	0.1177964678
603	0.07506060145	0.1177848267
604	0.07505423081	0.1177706828
605	0.07504814736	0.1177571357
606	0.07504249384	0.1177441573
607	0.07504025564	0.1177413066
608	0.07500645089	0.1176848589
609	0.0749807745	0.1176542116
610	0.07496804635	0.1176448053
611	0.07494854828	0.1176206395
612	0.07492963516	0.1175978442
613	0.07488835346	0.1175296935
614	0.07486678849	0.11751901
615	0.07484840914	0.1174973947
616	0.07484453061	0.1174862784
617	0.07483241358	0.1174702895
618	0.07482823939	0.117458798
619	0.07481473193	0.1174478181
620	0.07481060812	0.117436796
621	0.07479972941	0.1174214439
622	0.07479641281	0.1174108985
623	0.07478116475	0.1173790967
624	0.07476637413	0.117348806
625	0.07474581898	0.1173179704
626	0.07474291487	0.1173083726
627	0.0747232253	0.1172670897
628	0.07472055257	0.1172579016
629	0.07471802559	0.1172490937
630	0.07471095899	0.1172426591
631	0.07469189208	0.1172044092
632	0.07466822039	0.1171610134
633	0.07466573396	0.1171526563
634	0.07465859586	0.1171391838
635	0.07464220655	0.1171161679
636	0.07462346645	0.1170811093
637	0.07458983085	0.1169077004
638	0.07456561459	0.1168974126
639	0.07454627835	0.1168784084
640	0.07453902758	0.1168698357
641	0.0745013465	0.1168104412
642	0.07448797449	0.1167983313
643	0.07447742858	0.1167763386
644	0.07446452547	0.1167597537
645	0.07446213162	0.116751235
646	0.0744598184	0.1167430633
647	0.07444989101	0.11672246
648	0.07444377772	0.1167146517
649	0.07440754938	0.1166584248
650	0.07438918311	0.1166447377
651	0.07435943613	0.1165875403
652	0.07435649885	0.1165809566
653	0.07432379799	0.1165279493
654	0.07431316082	0.116507467
655	0.07429530854	0.1164944689
656	0.07428419957	0.1164707441
657	0.07426599954	0.1164472361
658	0.07425724621	0.1164397127
659	0.07422440091	0.1163892013
660	0.0742115848	0.1163714138
661	0.07420112552	0.1163490922
662	0.07419305912	0.1163278102
663	0.07418376331	0.1163215474
664	0.07417056244	0.1163112496
665	0.07415856636	0.1163031436
666	0.07412815069	0.1162683004
667	0.07410138751	0.1162379362
668	0.07409397608	0.1162253761
669	0.07408229165	0.1162128758
670	0.07407095126	0.1162058611
671	0.07405992713	0.1161997338
672	0.07404983741	0.1161933162
673	0.07400469512	0.1158787777
674	0.07399441535	0.1158730272
675	0.07396603987	0.1158394703
676	0.07395203967	0.1158249743
677	0.07393845948	0.1158113798
678	0.07393184211	0.1158007959
679	0.07388709086	0.1157522476
680	0.07387288451	0.1157475618
681	0.07385910435	0.1157437046
682	0.07384710365	0.115725809
683	0.07383836101	0.1157101749
684	0.07382638564	0.1156934048
685	0.07381791445	0.1156785291
686	0.07381047778	0.1156593252
687	0.07379723292	0.1156468743
688	0.0737875275	0.1156297378
689	0.07377459903	0.1156180001
690	0.07376213037	0.1156069997
691	0.07375083176	0.1156038792
692	0.0737379916	0.1155967302
693	0.07373462504	0.1155910186
694	0.07372734235	0.1155847229
695	0.07371903658	0.1155801149
696	0.07370640298	0.1155734561
697	0.07369909227	0.115569225
698	0.07368917264	0.1155647214
699	0.07368210199	0.1155608569
700	0.07367900536	0.1155558211
701	0.0736763629	0.1155510362
702	0.07367395234	0.1155464886
703	0.07366763856	0.1155408116
704	0.0736617051	0.115537203
705	0.07365652635	0.1155338875
706	0.07363585502	0.1155209221
707	0.07362977655	0.1155154358
708	0.0736247646	0.1155124755
709	0.07361883369	0.1155070173
710	0.07361647854	0.1155025769
711	0.0735027336	0.1151320201
712	0.07350041111	0.1151274826
713	0.07348956721	0.1151062532
714	0.07348100257	0.1150900439
715	0.07347487576	0.115085288
716	0.07346924451	0.1150808305
717	0.07346378219	0.1150766534
718	0.07345550261	0.1150768673
719	0.07345063742	0.1150728819
720	0.07342747229	0.1150523818
721	0.07340096549	0.1149079035
722	0.07339273121	0.1148918787
723	0.07336736528	0.1147554937
724	0.07335885489	0.1147314256
725	0.0733541354	0.1147262031
726	0.07335272435	0.1147217753
727	0.07334449474	0.1146991199
728	0.07333651203	0.1146778607
729	0.0733167428	0.1146391697
730	0.0732979994	0.1146026778
731	0.07327475214	0.1145710835
732	0.07326633758	0.1145568145
733	0.07325997905	0.1145508352
734	0.07325489005	0.1145472416
735	0.07324896748	0.1145416424
736	0.07324383234	0.1145363606
737	0.07320033758	0.1144765466
738	0.07319178429	0.1144619957
739	0.07319051437	0.1144569915
740	0.07318225467	0.1144431079
741	0.0731775474	0.1144395878
742	0.0731537826	0.1144166418
743	0.07314198036	0.1144106555
744	0.07310257141	0.114354069
745	0.07307929422	0.1143322858
746	0.07306848592	0.1143270074
747	0.07305861947	0.1143222785
748	0.07305392024	0.1143137192
749	0.07303659727	0.1142903462
750	0.07302687337	0.1142856734
751	0.0730203242	0.1142723329
752	0.07300896258	0.1142418859
753	0.07300549388	0.1142373755
754	0.07298464745	0.114207309
755	0.07296565155	0.1141816244
756	0.07292421942	0.1141330839
757	0.07288510892	0.114087063
758	0.07286995846	0.1140532332
759	0.07286095079	0.1140493392
760	0.0728376917	0.1140140656
761	0.07282939313	0.1140106104
762	0.07282301264	0.1140028185
763	0.07278978061	0.1138673007
764	0.07275778868	0.1137409019
765	0.07274972869	0.1137380974
766	0.07274385579	0.1137310094
767	0.07274270699	0.1137331724
768	0.07273539425	0.1137307403
769	0.07270823334	0.1136126656
770	0.07270709622	0.113614754
771	0.07270603601	0.113616798
772	0.07267971572	0.1135056875
773	0.07265460141	0.1134009119
774	0.07265347752	0.1134030034
775	0.07265241017	0.1134050483
776	0.07264765697	0.1134054463
777	0.07264663292	0.1134074629
778	0.07264201523	0.1134081164
779	0.07261801702	0.1133091655
780	0.07258441456	0.1132580396
781	0.07257541902	0.1132400422
782	0.07256669334	0.1132231136
783	0.07256630132	0.1132207455
784	0.07256592107	0.1132184597
785	0.07254347326	0.1131250827
786	0.07252169889	0.1130370344
787	0.07252133667	0.1130348238
788	0.07250065777	0.1129517932
789	0.07249678027	0.1129516982
790	0.07248995479	0.1129494243
791	0.07246989911	0.1128709181
792	0.0724504451	0.1127968898
793	0.07244596339	0.1127980228
794	0.07242188578	0.1127658329
795	0.07241795534	0.1127608209
796	0.07239910759	0.1126908243
797	0.07239529507	0.1126861284
798	0.07239123558	0.1126855017
799	0.0723873135	0.1126852018
800	0.07235657638	0.112621615
801	0.07234192747	0.1125919815
802	0.07233818463	0.112591783
803	0.07231983548	0.1124353889
804	0.07230227343	0.1122896459
805	0.0722738418	0.1122576859
806	0.07227203952	0.1122539056
807	0.07226795607	0.1122548434
808	0.07223915578	0.112198466
809	0.07221121949	0.1121460125
810	0.07220188229	0.1121276112
811	0.0721800576	0.1121033706
812	0.07215292745	0.1120542529
813	0.07213224533	0.1120375744
814	0.07210294869	0.1119846479
815	0.0720767975	0.1119556174
816	0.07206091414	0.1119380558
817	0.0720444931	0.1118841001
818	0.072035531	0.1118669179
819	0.07202076292	0.1118505094
820	0.0720007083	0.1118335873
821	0.07198685501	0.1118184683
822	0.0719734707	0.1118041134
823	0.07196243969	0.1117881365
824	0.07194323228	0.1117721623
825	0.07193664489	0.111773836
826	0.07191358199	0.1117428181
827	0.07190689343	0.11172955
828	0.07188171395	0.1116863303
829	0.07187349976	0.1116782931
830	0.07184907674	0.1116381179
831	0.07182670157	0.1116088234
832	0.0718201263	0.1115961889
833	0.07180756928	0.1115847114
834	0.07179538897	0.1115739859
835	0.07178357406	0.1115639659
836	0.07178285208	0.1115611352
837	0.07178222563	0.1115583987
838	0.07177457131	0.1115507862
839	0.07176205141	0.1115374288
840	0.07176053453	0.1115338226
841	0.07175914696	0.1115303422
842	0.07175426639	0.1115255438
843	0.07174961352	0.1115209896
844	0.07174821563	0.111517318
845	0.0717431701	0.1115149326
846	0.07172071346	0.1114914572
847	0.07170102816	0.111474535
848	0.07168637572	0.1114272254
849	0.07168209975	0.111413612
850	0.0716771128	0.1114110347
851	0.07167612317	0.1114085886
852	0.07166914355	0.1114034473
853	0.07166865575	0.1114021301
854	0.07166774411	0.1113997091
855	0.0716455283	0.1113721214
856	0.07162547028	0.1113466755
857	0.0716025152	0.1113256873
858	0.07158109061	0.1112982785
859	0.07156202361	0.111274996
860	0.07155928423	0.1112702734
861	0.07154077929	0.1112488074
862	0.07153811488	0.1112442526
863	0.0715375841	0.1112425737
864	0.07153135054	0.1112382371
865	0.07152691476	0.111235105
866	0.07150899573	0.1112152406
867	0.07150808516	0.1112124027
868	0.07149378113	0.1111674846
869	0.07147768414	0.1111492885
870	0.07147675108	0.1111451142
871	0.07146282771	0.1111028367
872	0.07145389418	0.1110861959
873	0.07145298922	0.1110821829
874	0.07143939522	0.1110419962
875	0.0714317451	0.1110268311
876	0.07141864911	0.1109889205
877	0.07141777694	0.11098507
878	0.07141044344	0.1109713231
879	0.07139772475	0.1109355634
880	0.07139066596	0.1109230424
881	0.07138903202	0.1109226848
882	0.07138199998	0.1109152712
883	0.07137369171	0.1109087979
884	0.07137262953	0.1109057562
885	0.07136574753	0.1108940938
886	0.07135892909	0.1108871271
887	0.0713508893	0.1108813594
888	0.07132416056	0.1108448547
889	0.07131774057	0.1108384297
