iter	Accuracy	MultiClass
204	0.7906194721	0.5251101306
205	0.7906720143	0.524759755
206	0.7909522392	0.5244534831
207	0.7909172111	0.5242073261
208	0.790882183	0.5238834255
209	0.7908471548	0.5236948106
210	0.7910573235	0.523371522
211	0.7913550624	0.5229378458
212	0.791530203	0.5226806845
213	0.7916878295	0.5222620223
214	0.7917228576	0.5219608589
215	0.7919505403	0.5216872019
216	0.7918804841	0.5214781452
217	0.7920030825	0.5211803369
218	0.7921957371	0.5207904985
219	0.7921256809	0.5205992538
220	0.7924409338	0.5202785624
221	0.7925810463	0.5200442539
222	0.7927036447	0.5197488425
223	0.7926511025	0.5194766069
224	0.7927036447	0.5192341514
225	0.792808729	0.5189165571
226	0.7929138133	0.5186953504
227	0.7929138133	0.5184223516
228	0.7930364117	0.5180290504
229	0.7932816085	0.5177184985
230	0.7933866928	0.5174384389
231	0.7934042069	0.5171306915
232	0.7935092912	0.5168955926
233	0.793772002	0.5165608765
234	0.7939121145	0.5162145191
235	0.794087255	0.5157629949
236	0.7941748253	0.5154378616
237	0.7943149377	0.5151084925
238	0.794384994	0.514869662
239	0.7946126767	0.5146120842
240	0.7948053313	0.5143881638
241	0.7949629578	0.5140728475
242	0.7949979859	0.5136027374
243	0.7951030702	0.513343183
244	0.7951380983	0.5131195016
245	0.7953832951	0.5127756357
246	0.7955234075	0.5124950556
247	0.7956284919	0.5121369223
248	0.7957160621	0.5118426938
249	0.7959087167	0.511545555
250	0.7961889416	0.5111538185
251	0.796294026	0.5109303171
252	0.7965217087	0.5105945576
253	0.7965567368	0.5103835726
254	0.7968369617	0.5100322951
255	0.7967669054	0.5098171738
256	0.79695956	0.5095136464
257	0.79695956	0.5092132773
258	0.7973448693	0.508725184
259	0.7973798974	0.5084306116
260	0.7973974114	0.5082405294
261	0.7974499536	0.5079442203
262	0.7974499536	0.5076050282
263	0.7976075801	0.5073433457
264	0.7976951504	0.5070960965
265	0.7980279174	0.5068326986
266	0.7980104033	0.5065169826
267	0.7982380861	0.5062079095
268	0.7983606844	0.5059807063
269	0.7984482547	0.505552396
270	0.7984482547	0.5054055461
271	0.7985533391	0.5051871526
272	0.7985708531	0.5048566972
273	0.7986409093	0.5045400621
274	0.7989911904	0.504116181
275	0.7989911904	0.5037804535
276	0.7990087045	0.5035731271
277	0.7993064434	0.5032418977
278	0.7994465559	0.5029791464
279	0.7992889294	0.5027554279
280	0.7993764996	0.5025840343
281	0.7994465559	0.5024100836
282	0.7995516402	0.5021814066
283	0.7995866683	0.5019698019
284	0.7996041824	0.50156706
285	0.7996917526	0.5014107379
286	0.7997442948	0.5011908671
287	0.799814351	0.5009523357
288	0.7999369494	0.5007842994
289	0.7999369494	0.5005471367
290	0.800129604	0.5004057155
291	0.8002872305	0.5001874888
292	0.8003222586	0.4998969329
293	0.800444857	0.4996358005
294	0.800444857	0.4994990047
295	0.8003923148	0.4992728435
296	0.8003047446	0.4989907011
297	0.8004973992	0.498747494
298	0.8005499413	0.4985109093
299	0.8005149132	0.4982440322
300	0.8006199975	0.4980197544
